MONTH,DAY,Date,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLED,CANCELLATION_REASON,ID
1,1,1/1/15,1212,N010AA,DFW,SDF,1,B,111212N010AA
1,1,1/1/15,1080,N005AA,ORD,EGE,1,A,111080N005AA
1,1,1/1/15,2305,N4YFAA,DFW,ORD,1,B,112305N4YFAA
1,1,1/1/15,3343,N612MQ,DFW,FAR,1,B,113343N612MQ
1,1,1/1/15,194,N006AA,DFW,ATL,1,B,11194N006AA
1,1,1/1/15,150,N4YPAA,DFW,MSY,1,B,11150N4YPAA
1,1,1/1/15,1023,N520AA,DFW,AUS,1,B,111023N520AA
1,1,1/1/15,1489,N487AA,DFW,MEM,1,B,111489N487AA
1,1,1/1/15,2903,N607MQ,BTR,DFW,1,B,112903N607MQ
1,1,1/1/15,2782,N1EAMQ,GUC,DFW,1,B,112782N1EAMQ
1,1,1/1/15,1418,N473AA,DFW,IAD,1,B,111418N473AA
1,1,1/1/15,2210,N469AA,SAT,DFW,1,B,112210N469AA
1,1,1/1/15,3241,N642MQ,ABI,DFW,1,B,113241N642MQ
1,1,1/1/15,3263,N900MQ,ACT,DFW,1,B,113263N900MQ
1,1,1/1/15,3623,N905MQ,DFW,TYR,1,B,113623N905MQ
1,1,1/1/15,6603,N468CA,SLC,PHX,1,A,116603N468CA
1,1,1/1/15,326,N486AA,STL,DFW,1,A,11326N486AA
1,1,1/1/15,3656,N649MQ,SJT,DFW,1,B,113656N649MQ
1,1,1/1/15,4477,N16170,HOB,IAH,1,C,114477N16170
1,1,1/1/15,1662,N4WJAA,ABQ,DFW,1,B,111662N4WJAA
1,1,1/1/15,3604,N939MQ,DFW,LAW,1,B,113604N939MQ
1,1,1/1/15,387,N492AA,AUS,LAX,1,A,11387N492AA
1,1,1/1/15,3125,N653MQ,DFW,GRI,1,B,113125N653MQ
1,1,1/1/15,3449,N827MQ,DRO,DFW,1,B,113449N827MQ
1,1,1/1/15,1292,N4XTAA,TUL,DFW,1,B,111292N4XTAA
1,1,1/1/15,2503,N905EV,DFW,BTR,1,A,112503N905EV
1,1,1/1/15,634,N632NK,TPA,DTW,1,B,11634N632NK
1,1,1/1/15,1596,,DEN,BOS,1,A,111596
1,1,1/1/15,2835,N906MQ,PNS,DFW,1,B,112835N906MQ
1,1,1/1/15,2988,N836MQ,DFW,COU,1,B,112988N836MQ
1,1,1/1/15,3584,N928MQ,DFW,SPS,1,B,113584N928MQ
1,1,1/1/15,2500,N906EV,LAW,DFW,1,A,112500N906EV
1,1,1/1/15,3270,N606MQ,CHA,DFW,1,B,113270N606MQ
1,1,1/1/15,3232,N677MQ,DFW,AMA,1,B,113232N677MQ
1,1,1/1/15,2557,N879AS,BRO,DFW,1,A,112557N879AS
1,1,1/1/15,3683,N935MQ,DFW,LRD,1,B,113683N935MQ
1,1,1/1/15,3450,N922MQ,DFW,MAF,1,B,113450N922MQ
1,1,1/1/15,5944,N11119,SAF,DEN,1,C,115944N11119
1,1,1/1/15,1328,N599AA,OKC,DFW,1,B,111328N599AA
1,1,1/1/15,4593,N14543,HRL,IAH,1,B,114593N14543
1,1,1/1/15,3182,N646MQ,DFW,FSM,1,B,113182N646MQ
1,1,1/1/15,3414,N518MQ,AMA,DFW,1,A,113414N518MQ
1,1,1/1/15,3124,N645MQ,DFW,ABI,1,B,113124N645MQ
1,1,1/1/15,5334,N986SW,MAF,DEN,1,C,115334N986SW
1,1,1/1/15,6313,N472CA,SJC,DEN,1,C,116313N472CA
